,room_type,calculated_host_listings_count,availability_365,price
0,0.5,0.0,0.016438356164383564,75
1,0.0,0.0,0.39452054794520547,120
2,0.5,0.018404907975460124,0.010958904109589041,250
3,0.0,0.0,0.2219178082191781,70
4,0.5,0.0,0.8684931506849315,225
5,0.5,0.0,0.13972602739726028,212
6,0.5,0.0,0.0,100
7,0.5,0.0,0.0,95
8,0.5,0.0,0.0,139
9,0.5,0.015337423312883437,0.8767123287671232,199
10,0.0,0.018404907975460124,0.4657534246575343,77
11,0.0,0.0,0.0,70
12,0.5,0.0,0.0,106
13,0.5,0.0,0.6027397260273972,99
14,0.0,0.0,0.0,90
15,0.0,0.0,0.0273972602739726,75
16,0.0,0.0,0.0,75
17,0.0,0.3128834355828221,0.33972602739726027,41
18,0.5,0.006134969325153375,0.7479452054794521,60
19,0.5,0.0,0.0,200
20,0.5,0.0,0.1095890410958904,60
21,0.5,0.0,0.6904109589041096,140
22,0.5,0.0,0.18082191780821918,99
23,0.5,0.0,0.0273972602739726,180
24,0.5,0.0,0.0,116
25,0.5,0.0,0.3863013698630137,150
26,0.5,0.0,0.0,0
27,0.5,0.0,0.21095890410958903,100
28,0.0,0.003067484662576687,0.0,44
29,0.0,0.003067484662576687,0.024657534246575342,44
30,0.0,0.042944785276073615,0.9835616438356164,300
31,0.0,0.0,0.2410958904109589,80
32,1.0,0.027607361963190184,0.7698630136986302,20
33,0.5,0.0,0.0,120
34,0.5,1.0,0.9561643835616438,228
35,0.5,0.0,0.5835616438356165,250
36,0.5,0.0,0.06027397260273973,382
37,0.0,0.003067484662576687,0.5095890410958904,45
38,0.5,0.03374233128834356,0.0,339
39,0.0,0.009202453987730062,0.0136986301369863,72
40,0.5,0.0,0.0,200
41,0.5,0.0,0.0958904109589041,116
42,0.0,0.0,0.5287671232876713,130
43,0.5,0.015337423312883437,0.0,295
44,1.0,0.003067484662576687,0.13424657534246576,55
45,0.5,0.0,0.0,80
46,0.0,0.0,0.0,43
47,0.0,0.0,0.6986301369863014,70
48,1.0,0.0,0.0410958904109589,45
49,0.0,0.0,0.526027397260274,39
50,0.0,0.0,0.0,100
51,0.5,0.0,0.3315068493150685,148
52,0.5,0.7085889570552147,0.9013698630136986,227
53,0.5,0.0,0.0410958904109589,150
54,0.5,0.0,0.9863013698630138,150
55,0.5,0.0,0.0410958904109589,100
56,0.5,0.003067484662576687,0.3863013698630137,95
57,0.0,0.003067484662576687,0.7671232876712328,65
58,0.5,0.0,0.0,90
59,0.0,0.0,0.0,70
60,0.5,0.0,0.9287671232876712,140
61,0.5,0.0,0.005479452054794521,325
62,0.5,0.0,0.23835616438356164,110
63,0.5,0.11656441717791412,0.18356164383561643,150
64,0.5,0.0,0.0,80
65,0.5,0.0,0.5452054794520548,195
66,0.0,0.003067484662576687,0.8821917808219178,115
67,0.5,0.0,0.3452054794520548,140
68,0.0,0.0,0.0,70
69,0.5,0.0,0.8794520547945206,125
70,0.0,0.006134969325153375,0.3917808219178082,45
71,0.5,0.0,0.0,80
72,0.5,0.0,0.0,120
73,0.5,0.0,0.07397260273972603,130
74,0.5,0.0,0.25205479452054796,69
